Store_Number,Store_Founded,Store_Type,Store_Size,Store_Location_Type,Item_Number,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Store_Sales_Value
STR035,2004,Supermarket,Small,Tier 2,FDJ38,8.6,Regular,0.040197932,Canned,190.153,3036.048
STR017,2007,Supermarket,Small,Tier 2,FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,866.8716
STR035,2004,Supermarket,Small,Tier 2,FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,868.869
STR046,1997,Supermarket,Small,Tier 1,DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,1137.1864
STR017,2007,Supermarket,Small,Tier 2,FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,928.1252
STR013,1987,Supermarket,High,Tier 3,DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,762.341
STR045,2002,Supermarket,Small,Tier 2,NCP30,20.5,Low Fat,0.032835147,Household,40.2822,707.0796
STR027,1985,Cold Storage,Medium,Tier 3,FDY25,,Low Fat,0.033809913,Canned,180.5976,7968.2944
STR046,1997,Supermarket,Small,Tier 1,NCH54,13.5,Low Fat,0.07266912,Household,160.292,1438.128
STR027,1985,Cold Storage,Medium,Tier 3,NCR53,,Low Fat,0.144338493,Health and Hygiene,224.4404,6976.2524
STR010,1998,Grocery Store,Small,Tier 3,FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,101.2016
STR018,2009,Convenience,Medium,Tier 3,FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,952.094
STR046,1997,Supermarket,Small,Tier 1,NCO26,7.235,Low Fat,0.076855628,Household,116.0492,1969.4364
STR027,1985,Cold Storage,Medium,Tier 3,FDH35,,Low Fat,0.059956876,Starchy Foods,165.4526,5262.4832
STR045,2002,Supermarket,Small,Tier 2,FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,1314.2892
STR017,2007,Supermarket,Small,Tier 2,FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,535.3032
STR010,1998,Grocery Store,Small,Tier 3,NCN07,18.5,Low Fat,0.056816465,Others,132.1284,263.6568
STR035,2004,Supermarket,Small,Tier 2,NCC31,8.02,Low Fat,0.019866705,Household,154.5972,1402.1748
STR017,2007,Supermarket,Small,Tier 2,NCX54,9.195,Low Fat,0.048331717,Household,105.1622,1693.7952
STR045,2002,Supermarket,Small,Tier 2,NCO55,12.8,Low Fat,0.091221855,Others,105.5938,2143.876
STR049,1999,Supermarket,Medium,Tier 1,NCC30,16.6,Low Fat,0.027622076,Household,177.6344,2676.516
STR035,2004,Supermarket,Small,Tier 2,FDI16,14,Regular,0,Frozen Foods,53.064,905.488
STR049,1999,Supermarket,Medium,Tier 1,FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,7370.406
STR035,2004,Supermarket,Small,Tier 2,FDB11,16,Low Fat,0.060836524,Starchy Foods,226.8404,6301.1312
STR035,2004,Supermarket,Small,Tier 2,NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,1597.92
STR035,2004,Supermarket,Small,Tier 2,FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,529.311
STR035,2004,Supermarket,Small,Tier 2,NCO26,7.235,Low Fat,0.076841095,Household,117.5492,1969.4364
STR017,2007,Supermarket,Small,Tier 2,DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,1034.6532
STR018,2009,Convenience,Medium,Tier 3,FDR28,13.85,Regular,0.026001976,Frozen Foods,161.521,1794.331
STR018,2009,Convenience,Medium,Tier 3,FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,2768.3964
STR027,1985,Cold Storage,Medium,Tier 3,DRK12,,Low Fat,0.041683481,Soft Drinks,31.29,898.83
STR046,1997,Supermarket,Small,Tier 1,FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,3169.208
STR018,2009,Convenience,Medium,Tier 3,NCI18,18.35,Low Fat,0.014081156,Household,223.5746,3589.9936
STR018,2009,Convenience,Medium,Tier 3,FDB36,5.465,Regular,0.113720344,Baking Goods,132.5626,262.3252
STR017,2007,Supermarket,Small,Tier 2,FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,1910.1802
STR017,2007,Supermarket,Small,Tier 2,DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,1701.7848
STR013,1987,Supermarket,High,Tier 3,FDQ28,14,Regular,0.060376776,Frozen Foods,154.5656,2471.4496
STR013,1987,Supermarket,High,Tier 3,FDM22,14,Regular,0.04192285,Snack Foods,54.764,1331.6
STR027,1985,Cold Storage,Medium,Tier 3,FDR07,,Low Fat,0.077367431,Fruits and Vegetables,97.0094,1808.9786
STR018,2009,Convenience,Medium,Tier 3,FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,3315.684
STR046,1997,Supermarket,Small,Tier 1,DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,2618.5914
STR046,1997,Supermarket,Small,Tier 1,FDW51,6.155,Regular,0.094659871,Meat,214.556,2769.728
STR017,2007,Supermarket,Small,Tier 2,DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,5375.0034
STR017,2007,Supermarket,Small,Tier 2,FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,2838.9712
STR018,2009,Convenience,Medium,Tier 3,FDL50,12.15,Regular,0.042485444,Canned,125.0046,1743.0644
STR027,1985,Cold Storage,Medium,Tier 3,NCB30,,Low Fat,0.025578526,Household,198.8084,5555.4352
STR018,2009,Convenience,Medium,Tier 3,FDW11,12.6,Low Fat,0.0489808,Breads,61.9194,619.194
STR035,2004,Supermarket,Small,Tier 2,NCM43,14.5,Low Fat,0.019471688,Others,164.821,2120.573
STR017,2007,Supermarket,Small,Tier 2,FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,3823.0236
STR013,1987,Supermarket,High,Tier 3,FDM15,11.8,Regular,0.057373797,Meat,151.4366,1360.2294
STR013,1987,Supermarket,High,Tier 3,FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,3969.4996
STR010,1998,Grocery Store,Small,Tier 3,FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,345.5502
STR010,1998,Grocery Store,Small,Tier 3,FDR47,17.85,Low Fat,0,Breads,196.5794,585.2382
STR045,2002,Supermarket,Small,Tier 2,FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,1010.6844
STR010,1998,Grocery Store,Small,Tier 3,NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,161.1236
STR019,1985,Grocery Store,Small,Tier 1,DRY23,,Regular,0.191013663,Soft Drinks,42.1112,42.6112
STR045,2002,Supermarket,Small,Tier 2,FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.4604,3010.7476
STR027,1985,Cold Storage,Medium,Tier 3,FDQ28,,Regular,0.060134441,Frozen Foods,153.0656,6024.1584
STR045,2002,Supermarket,Small,Tier 2,FDV39,11.3,Low Fat,0.007294652,Meat,198.1426,988.713
STR019,1985,Grocery Store,Small,Tier 1,NCO17,,Low Fat,0.128478462,Health and Hygiene,117.944,239.688
STR013,1987,Supermarket,High,Tier 3,FDU50,5.75,Regular,0.075107656,Dairy,112.8176,1374.2112
STR027,1985,Cold Storage,Medium,Tier 3,FDT12,9.1,Regular,0.049381406,Baking Goods,226.8062,4739.8302
STR018,2009,Convenience,Medium,Tier 3,FDK58,11.35,Regular,0.045165796,Snack Foods,100.0016,1012.016
STR019,1985,Grocery Store,Small,Tier 1,FDO08,,Regular,0.09415375,Fruits and Vegetables,165.7526,657.8104
STR049,1999,Supermarket,Medium,Tier 1,NCW29,14,Low Fat,0.028907832,Health and Hygiene,130.431,778.986
STR045,2002,Supermarket,Small,Tier 2,FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,2336.958
STR049,1999,Supermarket,Medium,Tier 1,NCB19,6.525,Low Fat,0.090436094,Household,85.0882,2233.0932
STR049,1999,Supermarket,Medium,Tier 1,FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,1661.8368
STR049,1999,Supermarket,Medium,Tier 1,FDL58,5.78,Regular,0.074264356,Snack Foods,264.7568,4745.8224
STR045,2002,Supermarket,Small,Tier 2,FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,3124.5994
STR018,2009,Convenience,Medium,Tier 3,FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,467.3916
STR027,1985,Cold Storage,Medium,Tier 3,NCX06,,Low Fat,0.01561108,Household,182.5976,5070.7328
STR046,1997,Supermarket,Small,Tier 1,FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,540.6296
STR046,1997,Supermarket,Small,Tier 1,FDB41,19,Regular,0.097313129,Frozen Foods,48.0718,992.7078
STR049,1999,Supermarket,Medium,Tier 1,NCN55,14.6,Low Fat,0.059582996,Others,238.8538,6008.845
STR027,1985,Cold Storage,Medium,Tier 3,FDE40,,Regular,0.098663652,Dairy,62.9194,2105.2596
STR027,1985,Cold Storage,Medium,Tier 3,FDX49,,Regular,0.101338651,Canned,232.63,5359.69
STR045,2002,Supermarket,Small,Tier 2,NCM53,18.75,Low Fat,0.052146456,Health and Hygiene,104.628,745.696
STR035,2004,Supermarket,Small,Tier 2,FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868,3275.736
STR045,2002,Supermarket,Small,Tier 2,FDN57,18.25,Low Fat,0.054344186,Snack Foods,140.2154,1701.7848
STR027,1985,Cold Storage,Medium,Tier 3,FDI24,9.1,Low Fat,0.078362484,Baking Goods,177.937,6704.606
STR046,1997,Supermarket,Small,Tier 1,FDI19,15.1,Low Fat,0.052339069,Meat,242.7512,4119.9704
STR010,1998,Grocery Store,Small,Tier 3,FDF24,15.5,Regular,0.042464962,Baking Goods,81.5934,327.5736
STR049,1999,Supermarket,Medium,Tier 1,FDG52,13.65,Low Fat,0.065732883,Frozen Foods,45.7402,780.9834
STR045,2002,Supermarket,Small,Tier 2,DRF36,16.1,Low Fat,0.023625114,Soft Drinks,189.3846,3630.6074
STR019,1985,Grocery Store,Small,Tier 1,FDS45,,Regular,0.051643608,Snack Foods,107.3622,317.5866
STR010,1998,Grocery Store,Small,Tier 3,FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,231.6984
STR035,2004,Supermarket,Small,Tier 2,DRK12,9.5,Low Fat,0.041878397,Soft Drinks,32.99,133.16
STR035,2004,Supermarket,Small,Tier 2,DRC27,13.8,Low Fat,0.058091482,Dairy,245.1802,5650.6446
STR017,2007,Supermarket,Small,Tier 2,FDL58,5.78,Regular,0,Snack Foods,263.7568,2636.568
STR045,2002,Supermarket,Small,Tier 2,NCD30,19.7,Low Fat,0.026903714,Household,96.0726,1272.3438
STR010,1998,Grocery Store,Small,Tier 3,NCZ54,14.65,Low Fat,0,Household,161.5552,324.9104
STR010,1998,Grocery Store,Small,Tier 3,FDE10,6.67,Regular,0.150554711,Snack Foods,130.0626,131.1626
STR010,1998,Grocery Store,Small,Tier 3,FDR44,6.11,Regular,0,Fruits and Vegetables,131.2968,260.9936
STR010,1998,Grocery Store,Small,Tier 3,FDP28,13.65,Regular,0.134975628,Frozen Foods,260.0936,260.9936
STR013,1987,Supermarket,High,Tier 3,FDX15,17.2,Low Fat,0.15616879,Meat,160.6578,3690.5294
STR035,2004,Supermarket,Small,Tier 2,FDA39,6.32,Low Fat,0,Meat,40.2822,1139.1838
STR049,1999,Supermarket,Medium,Tier 1,FDY24,4.88,Regular,0.133700752,Baking Goods,52.9298,1995.4026
STR017,2007,Supermarket,Small,Tier 2,FDC60,5.425,Regular,0.115119905,Baking Goods,88.3514,1416.8224
STR046,1997,Supermarket,Small,Tier 1,FDH28,15.85,Regular,0.110030997,Frozen Foods,37.2506,265.6542
STR017,2007,Supermarket,Small,Tier 2,FDT25,7.5,Low Fat,0.051038045,Canned,121.7072,3552.7088
STR013,1987,Supermarket,High,Tier 3,DRJ13,12.65,Low Fat,0.062837968,Soft Drinks,161.5578,2406.867
STR019,1985,Grocery Store,Small,Tier 1,NCO07,,Low Fat,0.017116983,Others,211.956,213.056
STR013,1987,Supermarket,High,Tier 3,FDW20,20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,2956.152
STR019,1985,Grocery Store,Small,Tier 1,DRF27,,Low Fat,0.049754975,Dairy,152.134,153.134
STR035,2004,Supermarket,Small,Tier 2,FDS49,9,Low Fat,0,Canned,79.7644,1649.8524
STR027,1985,Cold Storage,Medium,Tier 3,FDX25,,Low Fat,0.101561568,Canned,181.9292,3101.2964
STR027,1985,Cold Storage,Medium,Tier 3,NCX42,,Low Fat,0.005949644,Household,165.6526,4769.1254
STR027,1985,Cold Storage,Medium,Tier 3,FDG33,,Regular,0.13956116,Seafood,170.4764,3435.528
STR045,2002,Supermarket,Small,Tier 2,FDL56,14.1,Low Fat,0.126035694,Fruits and Vegetables,86.4198,1133.8574
STR035,2004,Supermarket,Small,Tier 2,FDF14,7.55,Low Fat,0.027164679,Canned,152.334,2603.278
STR046,1997,Supermarket,Small,Tier 1,NCD06,13,Low Fat,0.099325278,Household,45.406,605.878
